,index_content,word,nature,content_type,index_word
8,1,黑色,n,pos,1
15,1,蓝色,n,pos,2
22,1,卖家,n,pos,4
27,1,发货,n,pos,5
28,1,速度,n,pos,6
31,2,电动车,n,pos,1
32,2,男,n,pos,2
35,2,防雨,n,pos,5
36,2,电瓶车,n,pos,6
37,2,女士,n,pos,7
39,2,哈雷,nr,pos,9
42,2,覆式,n,pos,11
43,2,安全帽,nz,pos,12
46,2,半盔,n,pos,15
50,2,灰色,n,pos,18
52,2,茶,n,pos,20
55,2,均码,n,pos,22
63,2,物美,nz,pos,27
64,2,廉价,n,pos,28
69,2,款式,n,pos,31
79,2,灰色,n,pos,35
84,2,色系,n,pos,37
86,3,东西,ns,pos,1
90,3,灰色,n,pos,3
91,3,高端,n,pos,4
92,3,大气,n,pos,5
97,3,电动车,n,pos,7
117,4,内衬,n,pos,2
122,4,磨砂,n,pos,4
132,5,价位,n,pos,1
138,5,商家,n,pos,3
140,5,外观,n,pos,4
142,5,大气,n,pos,6
153,5,装饰,n,pos,11
165,6,帽子,n,pos,2
173,6,平台,n,pos,4
192,6,价位,n,pos,7
196,6,产品,n,pos,9
210,7,货,n,pos,3
212,7,时间,n,pos,4
220,7,性价比,n,pos,7
233,8,结实,n,pos,2
239,8,颜色,n,pos,4
244,8,重量,n,pos,6
255,9,店铺,n,pos,4
282,9,镜片,n,pos,13
296,9,换货,nz,pos,17
300,9,购物,n,pos,19
301,9,体验,n,pos,20
306,10,颜色,n,pos,1
316,10,反光板,n,pos,5
318,10,灯光,n,pos,6
332,10,板,ng,pos,15
339,10,经济,n,pos,18
340,10,实惠,vn,pos,19
342,10,活动,vn,pos,20
345,10,价格,n,pos,21
346,10,美丽,ns,pos,22
349,10,商城,ns,pos,24
352,10,国货,n,pos,26
353,10,精品店,n,pos,27
355,10,谢谢,nr,pos,28
359,11,铁,n,neg,2
366,11,建议,n,neg,5
384,12,钱,n,neg,6
391,12,商家,n,neg,9
395,12,产品,n,neg,12
414,12,态度,n,neg,17
415,12,极差,n,neg,18
422,12,运费,vn,neg,20
426,12,理由,n,neg,22
437,12,理由,n,neg,26
452,12,店,n,neg,29
456,12,消费者,n,neg,31
461,13,泡沫,n,neg,1
462,13,内衬,n,neg,2
472,13,碳纤维,n,neg,6
474,13,胶壳,n,neg,7
476,13,泡沫,n,neg,9
486,14,星星,nz,neg,2
506,14,星星,nz,neg,8
512,14,购物,n,neg,11
521,14,东西,ns,neg,14
536,14,棉的,n,neg,20
541,14,带子,n,neg,23
547,14,卡,n,neg,25
554,14,易碎品,nr,neg,27
558,14,玻璃,n,neg,28
566,15,朋友,n,neg,1
567,15,块钱,n,neg,2
574,15,黑点,n,neg,3
576,15,毛边,n,neg,4
580,16,公平,n,neg,1
581,16,公正,nr,neg,2
583,16,评价,n,neg,3
585,16,帽子,n,neg,4
587,16,车筐,n,neg,6
599,16,车筐,n,neg,10
608,17,溢流,n,neg,1
610,17,毛边,n,neg,2
613,17,出厂,n,neg,3
619,17,面罩,n,neg,4
624,17,刀,n,neg,6
628,17,面罩,n,neg,8
650,18,风车,n,neg,2
656,18,隐形,n,neg,4
672,19,白色,n,neg,7
673,19,头套,n,neg,8
677,19,塑料,n,neg,11
678,19,壳,n,neg,12
681,19,安全帽,nz,neg,13
682,19,结构,n,neg,14
689,19,安全帽,nz,neg,16
694,19,标,n,neg,18
717,20,个把月,n,neg,2
720,20,货,n,neg,3
723,20,钱,n,neg,5
732,20,下单,n,neg,9
743,20,催单,n,neg,15
750,20,时间,n,neg,17
758,20,物流,n,neg,20
770,20,问,n,neg,24
779,20,商品,n,neg,27
791,20,货,n,neg,30
795,20,钱,n,neg,31
810,20,东西,ns,neg,36
820,20,个把月,n,neg,38
823,20,个把月,n,neg,39
836,20,玩意,n,neg,41
849,20,白送,nr,neg,43
851,21,防尘,n,neg,1
854,21,实物,n,neg,3
859,21,宣传,vn,neg,5
864,22,瑕疵,n,neg,2
892,24,配件,n,neg,2
905,25,扣子,n,neg,3
915,26,调节,vn,neg,2
924,26,面罩,n,neg,6
929,26,区域,n,neg,9
933,26,视线,n,neg,10
944,26,眼睛,n,neg,14
950,26,一分钱,n,neg,16
951,26,一分货,n,neg,17
954,26,价位,n,neg,18
957,26,自行车,n,neg,19
959,27,用户,n,neg,1
961,27,评价,n,neg,3
962,27,内容,n,neg,4
966,28,产品,n,neg,2
968,28,刮花,n,neg,3
970,28,痕迹,n,neg,4
974,29,帽檐,n,neg,1
979,29,帽绳,n,neg,3
987,29,卡扣,nz,neg,6
997,29,帽绳,n,neg,10
1001,29,相片,n,neg,11
1003,29,购买者,n,neg,12
1013,30,优点,n,neg,4
1017,30,缺点,n,neg,6
1022,30,物质,n,neg,7
1026,30,塑料,n,neg,9
1042,30,太重,n,neg,17
1046,30,太小,n,neg,19
1050,30,调节,vn,neg,20
1053,30,空间,n,neg,22
1077,30,男士,n,neg,32
1080,31,掌柜,n,pos,1
1081,31,态度,n,pos,2
1083,31,专业,n,pos,3
1084,31,热情,n,pos,4
1113,31,掌柜,n,pos,11
1122,31,掌柜,n,pos,14
1127,31,宝贝,nr,pos,16
1148,31,宝贝,nr,pos,22
1151,31,想象,n,pos,23
1160,31,大拇指,n,pos,26
1161,31,发货,n,pos,27
1166,31,货,n,pos,30
1169,31,商品,n,pos,31
1178,31,关键,n,pos,33
1179,31,价格,n,pos,34
1195,32,颜值,n,pos,1
1204,32,车座,n,pos,5
1232,33,高度,n,pos,2
1235,33,大赞,nr,pos,4
1237,34,价格,n,pos,1
1240,34,样式,n,pos,3
1245,34,调节,vn,pos,6
1250,34,舒适感,nr,pos,8
1259,35,购物,n,pos,2
1261,35,颜色,n,pos,3
1272,35,条,n,pos,7
1281,35,灯光,n,pos,10
1288,35,价格,n,pos,13
1289,35,美丽,ns,pos,14
1291,35,商家,n,pos,16
1298,36,性价比,n,pos,1
1305,36,白色,n,pos,6
1308,36,耶耶耶,nr,pos,8
1309,36,哪哈,nrt,pos,9
1316,36,废话,n,pos,11
1325,36,强推,vn,pos,14
1327,36,白色,n,pos,16
1331,36,耶耶耶,nr,pos,19
1336,37,粉色,n,pos,3
1337,37,实物,n,pos,4
1338,37,颜色,n,pos,5
1342,37,光泽度,n,pos,7
1347,37,异味,n,pos,8
1349,37,材质,n,pos,9
1362,37,围脖,n,pos,14
1363,37,加绒,nr,pos,15
1365,37,毛毛,nr,pos,16
1378,37,骑车,n,pos,20
1384,37,价格,n,pos,23
1387,37,实体店,n,pos,24
1388,37,实惠,vn,pos,25
1396,38,安全帽,nz,pos,1
1409,38,颜色,n,pos,7
1416,38,产品,n,pos,10
1418,38,安装简单,nr,pos,11
1425,38,感觉,n,pos,14
1427,38,性,n,pos,16
1433,38,安全感,nr,pos,17
1438,39,店,n,pos,3
1443,39,好长时间,n,pos,5
1446,39,货,n,pos,7
1451,39,帽子,n,pos,10
1455,39,发货,n,pos,12
1456,39,速度,n,pos,13
1464,39,购物,n,pos,15
1470,40,预期,vn,pos,4
1474,40,材质,n,pos,5
1480,40,造型,n,pos,9
1481,40,美观,nz,pos,10
1483,40,重量,n,pos,11
1489,40,价格,n,pos,14
1495,40,产品,n,pos,17
1500,40,朋友,n,pos,19
1502,40,朋友,n,pos,20
1507,40,下单,n,pos,21
1511,40,建议,n,pos,23
1513,40,外包装,n,pos,24
1515,40,讲究,vn,pos,25
1524,41,泽,nr,pos,1
1531,41,感觉,n,pos,3
1536,41,手感,n,pos,4
1542,41,茶镜,n,pos,7
1554,42,东西,ns,pos,1
1562,42,图片,n,pos,3
1566,42,色差,n,pos,4
1573,42,产品,n,pos,7
1578,42,感觉,n,pos,9
1607,44,通气孔,n,pos,2
1610,44,调节,vn,pos,3
1613,44,头围,n,pos,4
1617,44,调节,vn,pos,6
1619,44,男女,n,pos,7
1624,44,男士,n,pos,9
1625,44,戴更,nr,pos,10
1632,45,镜片,n,pos,3
1643,45,质感,n,pos,7
1646,45,安全性,nr,pos,9
1649,45,手感,n,pos,10
1655,45,头部,n,pos,14
1674,46,反光板,n,pos,7
1676,46,灯光,n,pos,8
1685,46,店铺,n,pos,14
