,index_content,word,nature,content_type,index_word
8,1,黑色,n,pos,1
15,1,蓝色,n,pos,2
20,1,不错,a,pos,3
22,1,卖家,n,pos,4
27,1,发货,n,pos,5
28,1,速度,n,pos,6
30,1,很快,d,pos,7
31,2,电动车,n,pos,1
32,2,男,n,pos,2
33,2,四季,m,pos,3
34,2,防晒,v,pos,4
35,2,防雨,n,pos,5
36,2,电瓶车,n,pos,6
37,2,女士,n,pos,7
38,2,夏季,t,pos,8
39,2,哈雷,nr,pos,9
40,2,轻便式,l,pos,10
42,2,覆式,n,pos,11
43,2,安全帽,nz,pos,12
44,2,四季,m,pos,13
45,2,通用,v,pos,14
46,2,半盔,n,pos,15
47,2,防晒,v,pos,16
48,2,夏天,t,pos,17
50,2,灰色,n,pos,18
51,2,黑,a,pos,19
52,2,茶,n,pos,20
53,2,中,f,pos,21
55,2,均码,n,pos,22
56,2,不错,a,pos,23
58,2,一款,m,pos,24
60,2,算得,v,pos,25
62,2,一款,m,pos,26
63,2,物美,nz,pos,27
64,2,廉价,n,pos,28
66,2,做工,v,pos,29
67,2,不错,a,pos,30
69,2,款式,n,pos,31
71,2,新颖,a,pos,32
74,2,戴,v,pos,33
77,2,舒服,a,pos,34
79,2,灰色,n,pos,35
82,2,喜欢,v,pos,36
84,2,色系,n,pos,37
86,3,东西,ns,pos,1
88,3,不错,a,pos,2
90,3,灰色,n,pos,3
91,3,高端,n,pos,4
92,3,大气,n,pos,5
93,3,上档次,b,pos,6
97,3,电动车,n,pos,7
98,3,送,v,pos,8
102,3,太,d,pos,9
115,4,厚实,a,pos,1
117,4,内衬,n,pos,2
120,4,舒适,a,pos,3
122,4,磨砂,n,pos,4
124,4,哑黑,z,pos,5
128,4,好看,v,pos,6
132,5,价位,n,pos,1
137,5,良心,a,pos,2
138,5,商家,n,pos,3
140,5,外观,n,pos,4
141,5,漂亮,a,pos,5
142,5,大气,n,pos,6
144,5,做工,v,pos,7
145,5,精细,a,pos,8
149,5,贴心,v,pos,9
150,5,送,v,pos,10
153,5,装饰,n,pos,11
157,5,认证,v,pos,12
159,5,值得,v,pos,13
160,5,推荐,v,pos,14
163,6,款,m,pos,1
165,6,帽子,n,pos,2
170,6,在此之前,i,pos,3
173,6,平台,n,pos,4
183,6,退掉,v,pos,5
188,6,上买,v,pos,6
192,6,价位,n,pos,7
194,6,相比,v,pos,8
196,6,产品,n,pos,9
198,6,不错,a,pos,10
203,6,不行,v,pos,11
205,6,查得,v,pos,12
206,6,紧,a,pos,13
208,7,刚刚,d,pos,1
209,7,收到,v,pos,2
210,7,货,n,pos,3
212,7,时间,n,pos,4
213,7,打开,v,pos,5
217,7,失望,v,pos,6
220,7,性价比,n,pos,7
221,7,高,a,pos,8
226,7,没的说,l,pos,9
229,7,值得,v,pos,10
230,7,购买,v,pos,11
231,8,看着,v,pos,1
233,8,结实,n,pos,2
237,8,厚实,a,pos,3
239,8,颜色,n,pos,4
242,8,喜欢,v,pos,5
244,8,重量,n,pos,6
246,8,合适,a,pos,7
247,9,他俩,r,pos,1
249,9,不错,a,pos,2
254,9,两家,m,pos,3
255,9,店铺,n,pos,4
256,9,拍,v,pos,5
264,9,果断,d,pos,6
265,9,退过,v,pos,7
268,9,太,d,pos,8
269,9,差,a,pos,9
273,9,便宜,a,pos,10
276,9,确实,ad,pos,11
277,9,差,a,pos,12
282,9,镜片,n,pos,13
286,9,透明,v,pos,14
289,9,喜欢,v,pos,15
292,9,沟通,v,pos,16
296,9,换货,nz,pos,17
298,9,不错,a,pos,18
300,9,购物,n,pos,19
301,9,体验,n,pos,20
306,10,颜色,n,pos,1
307,10,漂亮,a,pos,2
309,10,戴起来,l,pos,3
310,10,舒服,a,pos,4
316,10,反光板,n,pos,5
318,10,灯光,n,pos,6
319,10,照射,v,pos,7
323,10,发现,v,pos,8
325,10,起到,v,pos,9
326,10,反光,v,pos,10
327,10,警示,v,pos,11
328,10,作用,v,pos,12
330,10,前,f,pos,13
331,10,挡风遮雨,i,pos,14
332,10,板,ng,pos,15
335,10,拆卸,v,pos,16
337,10,物美价廉,l,pos,17
339,10,经济,n,pos,18
340,10,实惠,vn,pos,19
342,10,活动,vn,pos,20
345,10,价格,n,pos,21
346,10,美丽,ns,pos,22
348,10,支持,v,pos,23
349,10,商城,ns,pos,24
351,10,支持,v,pos,25
352,10,国货,n,pos,26
353,10,精品店,n,pos,27
355,10,谢谢,nr,pos,28
357,11,扣,v,neg,1
359,11,铁,n,neg,2
363,11,难,a,neg,3
364,11,取开,v,neg,4
366,11,建议,n,neg,5
373,12,后悔,v,neg,1
376,12,差,a,neg,2
378,12,也敢,d,neg,3
381,12,卖,v,neg,4
383,12,想,v,neg,5
384,12,钱,n,neg,6
385,12,想,v,neg,7
386,12,疯,v,neg,8
391,12,商家,n,neg,9
393,12,卖,v,neg,10
394,12,假冒伪劣,j,neg,11
395,12,产品,n,neg,12
401,12,好评,v,neg,13
408,12,一问三不知,i,neg,14
410,12,半天,m,neg,15
412,12,回复,v,neg,16
414,12,态度,n,neg,17
415,12,极差,n,neg,18
418,12,退货,v,neg,19
422,12,运费,vn,neg,20
425,12,天无,i,neg,21
426,12,理由,n,neg,22
427,12,退货,v,neg,23
429,12,假,a,neg,24
436,12,一百个,m,neg,25
437,12,理由,n,neg,26
442,12,不退,v,neg,27
451,12,这家,r,neg,28
452,12,店,n,neg,29
455,12,欺骗,v,neg,30
456,12,消费者,n,neg,31
461,13,泡沫,n,neg,1
462,13,内衬,n,neg,2
467,13,搞,v,neg,3
469,13,假,a,neg,4
471,13,类似,v,neg,5
472,13,碳纤维,n,neg,6
474,13,胶壳,n,neg,7
475,13,充当,a,neg,8
476,13,泡沫,n,neg,9
485,14,一颗,m,neg,1
486,14,星星,nz,neg,2
491,14,真的,d,neg,3
493,14,一颗,m,neg,4
495,14,不想,v,neg,5
501,14,告诉,v,neg,6
505,14,一颗,m,neg,7
506,14,星星,nz,neg,8
507,14,取消,v,neg,9
509,14,糟糕透顶,z,neg,10
512,14,购物,n,neg,11
514,14,再也,d,neg,12
517,14,网上,s,neg,13
521,14,东西,ns,neg,14
524,14,稍微,d,neg,15
525,14,胖,a,neg,16
526,14,一点,m,neg,17
527,14,戴,v,neg,18
531,14,夏天,t,neg,19
536,14,棉的,n,neg,20
537,14,里,f,neg,21
538,14,垫,v,neg,22
541,14,带子,n,neg,23
542,14,穿,zg,neg,24
547,14,卡,n,neg,25
549,14,紧,a,neg,26
554,14,易碎品,nr,neg,27
558,14,玻璃,n,neg,28
566,15,朋友,n,neg,1
567,15,块钱,n,neg,2
574,15,黑点,n,neg,3
576,15,毛边,n,neg,4
578,15,一点,m,neg,5
580,16,公平,n,neg,1
581,16,公正,nr,neg,2
583,16,评价,n,neg,3
585,16,帽子,n,neg,4
586,16,放在,v,neg,5
587,16,车筐,n,neg,6
588,16,里,f,neg,7
594,16,撞击,v,neg,8
598,16,放在,v,neg,9
599,16,车筐,n,neg,10
600,16,里,f,neg,11
603,16,碰,v,neg,12
605,16,掉色,v,neg,13
608,17,溢流,n,neg,1
610,17,毛边,n,neg,2
613,17,出厂,n,neg,3
619,17,面罩,n,neg,4
620,17,听,v,neg,5
624,17,刀,n,neg,6
625,17,挂,v,neg,7
628,17,面罩,n,neg,8
629,17,扣,v,neg,9
643,17,后悔,v,neg,10
647,18,送,v,neg,1
650,18,风车,n,neg,2
653,18,不错,a,neg,3
656,18,隐形,n,neg,4
658,18,包装,v,neg,5
660,18,精美,a,neg,6
661,19,真的,d,neg,1
663,19,差,a,neg,2
667,19,不到,v,neg,3
668,19,防护,v,neg,4
669,19,作用,v,neg,5
671,19,一圈,m,neg,6
672,19,白色,n,neg,7
673,19,头套,n,neg,8
675,19,再就是,c,neg,9
676,19,一层,m,neg,10
677,19,塑料,n,neg,11
678,19,壳,n,neg,12
681,19,安全帽,nz,neg,13
682,19,结构,n,neg,14
687,19,没法,v,neg,15
689,19,安全帽,nz,neg,16
692,19,剪,v,neg,17
694,19,标,n,neg,18
696,19,想退,v,neg,19
698,19,退,v,neg,20
701,19,算了,v,neg,21
703,19,扔掉,v,neg,22
